datetime,lat,lon,id_stn,wind_dir,wind_speed,max_wind_speed,tp_a
2019-01-01 00:00:00,35.61095833333333,140.02330333333333,01,336.3,6.8,7.4,5.54
2019-01-01 00:15:00,35.61095833333333,140.02330333333333,01,339.4,6.3,7.1,5.32
2019-01-01 00:30:00,35.61095833333333,140.02330333333333,01,327.4,5.4,6.5,5.53
2019-01-01 00:45:00,35.61095833333333,140.02330333333333,01,329.7,5.5,6.1,5.05
2019-01-01 01:00:00,35.61095833333333,140.02330333333333,01,332.5,5.1,5.9,5.3
2019-01-01 01:15:00,35.61095833333333,140.02330333333333,01,324.7,5.5,7.2,5.46
2019-01-01 01:30:00,35.61095833333333,140.02330333333333,01,333.7,5.6,7.1,5.48
2019-01-01 01:45:00,35.61095833333333,140.02330333333333,01,333.1,5.1,5.8,5.42
2019-01-01 02:00:00,35.61095833333333,140.02330333333333,01,343.6,4.9,6.1,5.44
2019-01-01 02:15:00,35.61095833333333,140.02330333333333,01,325.6,4.6,6.1,5.25
2019-01-01 02:30:00,35.61095833333333,140.02330333333333,01,325.6,5.0,6.3,5.19
2019-01-01 02:45:00,35.61095833333333,140.02330333333333,01,340.5,5.5,7.2,5.36
2019-01-01 03:00:00,35.61095833333333,140.02330333333333,01,325.7,5.5,6.7,5.5
2019-01-01 03:15:00,35.61095833333333,140.02330333333333,01,336.0,5.8,6.7,5.04
2019-01-01 03:30:00,35.61095833333333,140.02330333333333,01,346.1,5.1,6.3,5.1
2019-01-01 03:45:00,35.61095833333333,140.02330333333333,01,11.5,4.6,5.6,4.78
2019-01-01 04:00:00,35.61095833333333,140.02330333333333,01,27.5,3.7,4.7,4.45
2019-01-01 04:15:00,35.61095833333333,140.02330333333333,01,60.8,2.9,3.7,4.04
2019-01-01 04:30:00,35.61095833333333,140.02330333333333,01,43.7,2.8,3.5,3.2
2019-01-01 04:45:00,35.61095833333333,140.02330333333333,01,50.5,2.7,3.3,3.39
2019-01-01 05:00:00,35.61095833333333,140.02330333333333,01,53.0,2.8,4.0,3.61
2019-01-01 05:15:00,35.61095833333333,140.02330333333333,01,66.1,2.9,3.8,3.34
2019-01-01 05:30:00,35.61095833333333,140.02330333333333,01,79.7,2.2,3.4,3.3
2019-01-01 05:45:00,35.61095833333333,140.02330333333333,01,51.3,2.3,3.1,3.35
2019-01-01 06:00:00,35.61095833333333,140.02330333333333,01,53.6,1.5,2.2,3.53
2019-01-01 06:15:00,35.61095833333333,140.02330333333333,01,36.3,1.8,2.6,3.7
2019-01-01 06:30:00,35.61095833333333,140.02330333333333,01,14.0,1.6,2.9,3.54
2019-01-01 06:45:00,35.61095833333333,140.02330333333333,01,60.1,1.5,3.0,3.78
2019-01-01 07:00:00,35.61095833333333,140.02330333333333,01,55.2,1.9,2.3,3.87
2019-01-01 07:15:00,35.61095833333333,140.02330333333333,01,25.5,1.9,3.0,4.04
2019-01-01 07:30:00,35.61095833333333,140.02330333333333,01,50.4,2.2,2.9,4.12
2019-01-01 07:45:00,35.61095833333333,140.02330333333333,01,18.7,2.4,2.9,4.06
