datetime,lat,lon,id_stn,nlev,lev,tp,depth,ec,ec_sp,sl,tb,chla,DOp,DO,pH,ORP
2019-01-01 00:00:00,35.537038333333335,139.95425166666666,04,3,1,11.9,2.41,36.95,49.28,32.13,2.7,4.2,97.29,8.59,,
2019-01-01 00:00:00,35.537038333333335,139.95425166666666,04,3,2,11.91,11.42,37.03,49.38,32.2,3.8,5.8,94.58,8.34,,
2019-01-01 00:00:00,35.537038333333335,139.95425166666666,04,3,3,11.78,20.03,37.42,50.07,32.69,1.9,8.8,92.5,8.16,,
2019-01-01 01:00:00,35.537038333333335,139.95425166666666,04,3,1,11.87,2.47,36.93,49.29,32.13,2.6,6.5,96.96,8.56,,
2019-01-01 01:00:00,35.537038333333335,139.95425166666666,04,3,2,11.88,11.48,37.02,49.39,32.2,3.3,4.8,93.37,8.24,,
2019-01-01 01:00:00,35.537038333333335,139.95425166666666,04,3,3,11.74,20.09,37.39,50.08,32.69,1.9,8.1,92.4,8.15,,
2019-01-01 02:00:00,35.537038333333335,139.95425166666666,04,3,1,11.86,2.47,36.92,49.29,32.13,2.8,7.6,97.2,8.58,,
2019-01-01 02:00:00,35.537038333333335,139.95425166666666,04,3,2,11.87,11.48,37.01,49.39,32.2,3.4,5.7,94.11,8.31,,
2019-01-01 02:00:00,35.537038333333335,139.95425166666666,04,3,3,11.73,20.09,37.38,50.08,32.69,2.0,9.1,92.2,8.14,,
2019-01-01 03:00:00,35.537038333333335,139.95425166666666,04,3,1,11.85,2.43,36.9,49.28,32.13,2.6,4.7,97.04,8.57,,
2019-01-01 03:00:00,35.537038333333335,139.95425166666666,04,3,2,11.86,11.44,36.99,49.39,32.2,3.2,3.4,93.12,8.22,,
2019-01-01 03:00:00,35.537038333333335,139.95425166666666,04,3,3,11.72,20.05,37.38,50.08,32.69,2.0,8.5,92.2,8.14,,
2019-01-01 04:00:00,35.537038333333335,139.95425166666666,04,3,1,11.83,2.36,36.9,49.3,32.14,2.8,5.7,96.88,8.56,,
2019-01-01 04:00:00,35.537038333333335,139.95425166666666,04,3,2,11.86,11.37,37.0,49.39,32.2,3.5,4.4,94.06,8.3,,
2019-01-01 04:00:00,35.537038333333335,139.95425166666666,04,3,3,11.71,19.98,37.37,50.08,32.69,1.9,7.1,92.5,8.17,,
2019-01-01 05:00:00,35.537038333333335,139.95425166666666,04,3,1,11.85,2.27,36.91,49.29,32.13,2.9,8.1,96.95,8.57,,
2019-01-01 05:00:00,35.537038333333335,139.95425166666666,04,3,2,11.85,11.28,36.99,49.4,32.21,3.5,5.2,93.94,8.3,,
2019-01-01 05:00:00,35.537038333333335,139.95425166666666,04,3,3,11.71,19.88,37.38,50.08,32.69,2.0,8.6,92.4,8.16,,
2019-01-01 06:00:00,35.537038333333335,139.95425166666666,04,3,1,11.85,2.2,36.92,49.3,32.14,2.7,19.9,96.7,8.54,,
2019-01-01 06:00:00,35.537038333333335,139.95425166666666,04,3,2,11.85,11.21,36.99,49.4,32.21,3.4,5.0,93.79,8.28,,
2019-01-01 06:00:00,35.537038333333335,139.95425166666666,04,3,3,11.72,19.81,37.38,50.09,32.7,1.9,9.1,92.0,8.13,,
2019-01-01 07:00:00,35.537038333333335,139.95425166666666,04,3,1,11.86,2.16,36.93,49.3,32.14,2.6,6.6,96.2,8.5,,
2019-01-01 07:00:00,35.537038333333335,139.95425166666666,04,3,2,11.86,11.17,37.01,49.41,32.21,4.1,3.6,92.58,8.17,,
2019-01-01 07:00:00,35.537038333333335,139.95425166666666,04,3,3,11.74,19.78,37.41,50.1,32.71,2.0,8.4,91.6,8.08,,
2019-01-01 08:00:00,35.537038333333335,139.95425166666666,04,3,1,11.83,2.22,36.9,49.3,32.14,2.7,7.4,96.9,8.56,,
2019-01-01 08:00:00,35.537038333333335,139.95425166666666,04,3,2,11.83,11.23,36.98,49.4,32.21,3.7,4.9,94.27,8.33,,
2019-01-01 08:00:00,35.537038333333335,139.95425166666666,04,3,3,11.7,19.83,37.36,50.09,32.7,2.0,8.7,92.2,8.14,,
2019-01-01 09:00:00,35.537038333333335,139.95425166666666,04,3,1,11.82,2.33,36.89,49.3,32.14,2.7,5.9,96.68,8.55,,
2019-01-01 09:00:00,35.537038333333335,139.95425166666666,04,3,2,11.81,11.34,36.96,49.4,32.21,3.6,5.7,94.62,8.36,,
2019-01-01 09:00:00,35.537038333333335,139.95425166666666,04,3,3,11.67,19.94,37.34,50.1,32.7,2.0,7.1,92.3,8.15,,
2019-01-01 10:00:00,35.537038333333335,139.95425166666666,04,3,1,11.79,2.49,36.86,49.3,32.14,2.9,4.6,97.85,8.66,,
2019-01-01 10:00:00,35.537038333333335,139.95425166666666,04,3,2,11.78,11.5,36.93,49.41,32.21,3.6,5.6,93.91,8.3,,
2019-01-01 10:00:00,35.537038333333335,139.95425166666666,04,3,3,11.63,20.11,37.3,50.08,32.69,2.1,7.7,92.2,8.16,,
2019-01-01 11:00:00,35.537038333333335,139.95425166666666,04,3,1,11.8,2.61,36.87,49.3,32.14,2.8,5.0,98.43,8.7,,
2019-01-01 11:00:00,35.537038333333335,139.95425166666666,04,3,2,11.77,11.62,36.93,49.41,32.21,3.4,5.6,94.96,8.4,,
2019-01-01 11:00:00,35.537038333333335,139.95425166666666,04,3,3,11.59,20.23,37.26,50.09,32.69,2.0,7.6,92.3,8.17,,
2019-01-01 12:00:00,35.537038333333335,139.95425166666666,04,3,1,11.75,2.69,36.82,49.29,32.13,2.8,5.4,97.98,8.67,,
2019-01-01 12:00:00,35.537038333333335,139.95425166666666,04,3,2,11.73,11.7,36.88,49.4,32.2,3.4,5.5,94.31,8.35,,
2019-01-01 12:00:00,35.537038333333335,139.95425166666666,04,3,3,11.58,20.31,37.25,50.09,32.69,2.0,7.8,92.3,8.17,,
2019-01-01 13:00:00,35.537038333333335,139.95425166666666,04,3,1,11.85,2.69,36.92,49.3,32.14,2.6,5.5,99.14,8.76,,
2019-01-01 13:00:00,35.537038333333335,139.95425166666666,04,3,2,11.72,11.7,36.86,49.4,32.2,3.5,3.5,93.72,8.3,,
2019-01-01 13:00:00,35.537038333333335,139.95425166666666,04,3,3,11.57,20.31,37.24,50.09,32.69,1.9,6.5,92.1,8.16,,
2019-01-01 14:00:00,35.537038333333335,139.95425166666666,04,3,1,11.89,2.64,36.94,49.28,32.13,2.8,5.2,99.59,8.79,,
2019-01-01 14:00:00,35.537038333333335,139.95425166666666,04,3,2,11.72,11.65,36.88,49.4,32.2,4.1,5.0,90.88,8.05,,
2019-01-01 14:00:00,35.537038333333335,139.95425166666666,04,3,3,11.57,20.26,37.24,50.08,32.69,2.1,8.2,92.1,8.15,,
2019-01-01 15:00:00,35.537038333333335,139.95425166666666,04,3,1,12.04,2.54,37.09,49.29,32.14,2.3,5.1,100.9,8.88,,
