,datetime,lat,lon,id_stn,nlev,lev,tp,depth,ec,ec_sp,sl,tb,chla,DOp,DO,pH,ORP
0,2019-01-01 00:00:00,35.61095833333333,140.02330333333333,1,12,1,10.52,1.01,48.89,35.36,31.77,2.9,5.2,96.78,8.82,,
1,2019-01-01 01:00:00,35.61095833333333,140.02330333333333,1,12,1,10.55,0.99,48.91,35.4,31.78,2.9,5.0,95.81,8.72,,
2,2019-01-01 02:00:00,35.61095833333333,140.02330333333333,1,12,1,10.59,0.98,48.91,35.44,31.79,2.9,4.6,95.46,8.68,,
3,2019-01-01 03:00:00,35.61095833333333,140.02330333333333,1,12,1,10.61,0.99,48.94,35.49,31.81,2.9,5.2,95.14,8.65,,
4,2019-01-01 04:00:00,35.61095833333333,140.02330333333333,1,12,1,10.48,0.99,48.88,35.33,31.76,2.9,4.4,94.89,8.65,,
5,2019-01-01 05:00:00,35.61095833333333,140.02330333333333,1,12,1,10.44,0.99,48.66,35.12,31.6,2.9,4.8,94.89,8.67,,
6,2019-01-01 06:00:00,35.61095833333333,140.02330333333333,1,12,1,10.23,1.0,48.25,34.63,31.29,2.8,4.2,93.61,8.61,,
7,2019-01-01 07:00:00,35.61095833333333,140.02330333333333,1,12,1,10.54,0.99,48.62,35.2,31.58,2.8,3.8,94.64,8.63,,
8,2019-01-01 08:00:00,35.61095833333333,140.02330333333333,1,12,1,10.49,0.99,48.75,35.24,31.67,2.9,4.6,95.23,8.69,,
9,2019-01-01 09:00:00,35.61095833333333,140.02330333333333,1,12,1,10.53,1.0,48.8,35.32,31.71,2.9,3.3,95.88,8.74,,
10,2019-01-01 10:00:00,35.61095833333333,140.02330333333333,1,12,1,10.59,1.0,48.84,35.4,31.74,3.0,3.3,96.66,8.79,,
11,2019-01-01 11:00:00,35.61095833333333,140.02330333333333,1,12,1,10.69,0.99,48.84,35.49,31.74,3.0,3.0,97.71,8.87,,
12,2019-01-01 12:00:00,35.61095833333333,140.02330333333333,1,12,1,10.8,1.0,48.86,35.61,31.76,2.9,3.0,98.34,8.9,,
13,2019-01-01 13:00:00,35.61095833333333,140.02330333333333,1,12,1,10.86,0.99,48.88,35.67,31.78,2.8,3.4,98.94,8.95,,
14,2019-01-01 14:00:00,35.61095833333333,140.02330333333333,1,12,1,11.0,1.0,48.89,35.82,31.8,2.8,3.6,99.34,8.95,,
15,2019-01-01 15:00:00,35.61095833333333,140.02330333333333,1,12,1,10.88,1.0,48.9,35.71,31.8,2.8,4.8,100.28,9.06,,
