,datetime,lat,lon,id_stn,nlev,lev,tp,depth,ec,ec_sp,sl,tb,chla,DOp,DO,pH,ORP
0,2019-01-01 00:00:00,35.640085,139.94174166666667,3,9,1,10.95,1.0,49.04,35.88,31.91,2.2,2.9,92.78,8.36,,
1,2019-01-01 01:00:00,35.640085,139.94174166666667,3,9,1,11.28,1.0,49.16,36.28,32.01,2.4,3.1,92.26,8.26,,
2,2019-01-01 02:00:00,35.640085,139.94174166666667,3,9,1,11.13,0.99,49.15,36.13,31.99,2.3,3.3,92.3,8.29,,
3,2019-01-01 03:00:00,35.640085,139.94174166666667,3,9,1,11.2,0.99,49.17,36.21,32.01,2.4,3.3,92.26,8.27,,
4,2019-01-01 04:00:00,35.640085,139.94174166666667,3,9,1,10.52,1.0,49.09,35.51,31.92,2.2,3.0,91.66,8.34,,
5,2019-01-01 05:00:00,35.640085,139.94174166666667,3,9,1,8.23,0.99,48.5,32.97,31.33,2.3,2.3,92.84,8.92,,
6,2019-01-01 06:00:00,35.640085,139.94174166666667,3,9,1,9.0,0.99,48.84,33.91,31.63,2.1,2.6,92.31,8.7,,
7,2019-01-01 07:00:00,35.640085,139.94174166666667,3,9,1,8.31,0.99,48.48,33.03,31.32,2.1,2.1,92.86,8.91,,
8,2019-01-01 08:00:00,35.640085,139.94174166666667,3,9,1,7.92,0.99,48.39,32.6,31.23,2.0,2.2,92.99,9.01,,
9,2019-01-01 09:00:00,35.640085,139.94174166666667,3,9,1,9.47,0.99,48.84,34.35,31.67,2.3,2.2,92.24,8.6,,
10,2019-01-01 10:00:00,35.640085,139.94174166666667,3,9,1,10.9,1.0,49.12,35.89,31.96,2.2,2.4,92.63,8.36,,
11,2019-01-01 11:00:00,35.640085,139.94174166666667,3,9,1,10.98,0.98,49.11,35.96,31.96,2.4,2.3,92.86,8.37,,
12,2019-01-01 12:00:00,35.640085,139.94174166666667,3,9,1,10.28,0.99,48.78,35.06,31.68,2.1,2.1,93.79,8.59,,
13,2019-01-01 13:00:00,35.640085,139.94174166666667,3,9,1,9.42,0.98,48.35,33.96,31.31,2.2,1.9,94.16,8.81,,
14,2019-01-01 14:00:00,35.640085,139.94174166666667,3,9,1,8.73,0.99,48.01,33.09,31.02,1.8,2.0,94.64,9.01,,
15,2019-01-01 15:00:00,35.640085,139.94174166666667,3,9,1,8.54,0.98,47.72,32.72,30.79,2.0,2.3,94.69,9.07,,
16,2019-01-01 16:00:00,35.640085,139.94174166666667,3,9,1,9.13,0.98,48.15,33.56,31.15,1.9,2.6,97.41,9.19,,
17,2019-01-01 17:00:00,35.640085,139.94174166666667,3,9,1,9.11,0.99,48.19,33.56,31.17,2.0,2.6,99.86,9.42,,
18,2019-01-01 18:00:00,35.640085,139.94174166666667,3,9,1,9.19,0.99,48.25,33.68,31.22,2.0,2.7,99.24,9.34,,
19,2019-01-01 19:00:00,35.640085,139.94174166666667,3,9,1,8.65,0.99,48.2,33.15,31.15,2.1,2.4,95.83,9.13,,
20,2019-01-01 20:00:00,35.640085,139.94174166666667,3,9,1,8.82,0.98,48.07,33.21,31.06,1.9,2.4,96.01,9.12,,
21,2019-01-01 21:00:00,35.640085,139.94174166666667,3,9,1,9.23,1.01,48.39,33.81,31.32,2.2,2.6,95.66,8.99,,
22,2019-01-01 22:00:00,35.640085,139.94174166666667,3,9,1,9.5,1.0,48.38,34.05,31.33,1.9,3.6,99.41,9.29,,
23,2019-01-01 23:00:00,35.640085,139.94174166666667,3,9,1,9.12,1.02,48.24,33.6,31.21,2.1,2.7,97.23,9.17,,
24,2019-01-02 00:00:00,35.640085,139.94174166666667,3,9,1,8.88,1.04,48.18,33.35,31.15,2.0,2.7,96.81,9.18,,
25,2019-01-02 01:00:00,35.640085,139.94174166666667,3,9,1,9.36,1.02,48.4,33.94,31.34,2.1,3.9,98.36,9.21,,
26,2019-01-02 02:00:00,35.640085,139.94174166666667,3,9,1,9.74,1.02,48.6,34.43,31.51,2.0,5.1,98.78,9.17,,
