Node Number = 2157
Cell Number = 3822
1 1 6 5 1
2 7 1 5 2
3 16 2 19 3
4 20 19 2 4
5 17 21 3 5
6 21 4 3 6
7 23 4 21 7
8 23 22 4 8
9 5 32 7 9
10 31 5 6 10
11 31 32 5 11
12 31 6 33 12
13 32 34 7 13
14 8 7 34 14
15 8 34 35 15
16 9 8 35 16
17 9 35 10 17
18 35 36 10 18
19 10 36 11 19
20 37 11 36 20
21 11 37 12 21
22 38 13 12 22
23 12 37 38 23
24 13 38 39 24
25 13 39 14 25
26 39 15 14 26
27 15 39 40 27
28 40 41 15 28
29 16 19 42 29
30 43 16 42 30
31 44 21 17 31
32 18 44 17 32
33 45 18 41 33
34 18 45 44 34
35 51 42 19 35
36 51 19 20 36
37 49 51 20 37
38 21 52 23 38
39 21 44 52 39
40 53 22 23 40
41 53 30 22 41
42 23 52 54 42
43 54 53 23 43
44 56 55 24 44
45 46 24 55 45
46 25 56 24 46
47 26 56 25 47
48 56 26 57 48
49 27 57 26 49
50 27 28 57 50
51 29 58 28 51
52 58 57 28 52
53 59 29 60 53
54 58 29 59 54
55 61 60 30 55
56 53 61 30 56
57 31 33 62 57
58 31 62 32 58
59 34 32 62 59
60 33 63 62 60
61 62 64 34 61
62 35 34 64 62
63 36 35 64 63
64 65 36 64 64
65 65 37 36 65
66 37 65 38 66
67 38 66 39 67
68 66 38 65 68
69 66 40 39 69
70 41 40 67 70
71 66 67 40 71
72 41 67 45 72
73 51 71 42 73
74 42 71 72 74
75 42 72 43 75
76 74 73 44 76
77 45 74 44 77
78 44 73 52 78
79 67 74 45 79
80 75 46 55 80
81 75 48 46 81
82 75 47 48 82
83 75 50 47 83
84 50 76 49 84
85 76 51 49 85
86 76 50 75 86
87 76 77 51 87
88 51 77 71 88
89 52 73 78 89
90 78 54 52 90
91 79 53 54 91
92 79 61 53 92
93 79 54 78 93
94 55 56 81 94
95 75 55 80 95
96 55 81 80 96
97 82 56 57 97
98 56 82 81 98
99 57 58 83 99
100 82 57 83 100
101 83 58 59 101
102 84 59 60 102
103 59 84 83 103
104 60 61 84 104
105 61 79 85 105
106 85 84 61 106
107 62 86 64 107
108 62 63 86 108
109 63 87 86 109
110 86 88 64 110
111 64 88 65 111
112 89 65 88 112
113 65 89 66 113
114 66 90 67 114
115 66 89 90 115
116 90 74 67 116
117 91 68 92 117
118 69 68 91 118
119 93 69 91 119
120 93 70 69 120
121 93 94 70 121
122 72 71 96 122
123 95 71 77 123
124 71 95 96 124
125 78 73 97 125
126 97 73 74 126
127 98 97 74 127
128 74 90 98 128
129 76 75 100 129
130 100 75 80 130
131 77 76 100 131
132 101 77 100 132
133 95 77 101 133
134 78 102 79 134
135 99 102 78 135
136 99 78 97 136
137 79 102 85 137
138 100 80 103 138
139 80 81 103 139
140 103 81 104 140
141 81 82 104 141
142 104 82 105 142
143 82 83 105 143
144 106 83 84 144
145 83 106 105 145
146 106 84 85 146
147 107 85 102 147
148 85 107 106 148
149 110 86 87 149
150 86 110 88 150
151 87 108 110 151
152 88 111 89 152
153 110 111 88 153
154 90 89 112 154
155 111 112 89 155
156 90 112 98 156
157 93 91 114 157
158 114 91 92 158
159 115 92 113 159
160 114 92 115 160
161 116 94 93 161
162 114 116 93 162
163 96 95 119 163
