Node Number = 1230
Cell Number = 2149
1 9 8 1 1
2 9 1 2 2
3 10 9 2 3
4 6 15 3 4
5 15 16 3 5
6 3 16 4 6
7 4 16 17 7
8 4 17 5 8
9 5 17 14 9
10 18 15 6 10
11 7 22 23 11
12 7 24 10 12
13 23 24 7 13
14 11 8 9 14
15 8 11 25 15
16 26 9 10 16
17 26 11 9 17
18 24 26 10 18
19 26 27 11 19
20 25 11 27 20
21 21 19 12 21
22 13 29 12 22
23 29 21 12 23
24 14 29 13 24
25 17 31 14 25
26 31 32 14 26
27 32 29 14 27
28 18 33 15 28
29 15 33 16 29
30 17 16 34 30
31 16 33 34 31
32 17 34 31 32
33 35 33 18 33
34 19 21 36 34
35 19 36 20 35
36 22 20 36 36
37 37 36 21 37
38 30 21 29 38
39 30 37 21 39
40 36 38 22 40
41 22 38 23 41
42 39 23 38 42
43 39 40 23 43
44 23 40 24 44
45 24 28 26 45
46 24 40 28 46
47 25 27 43 47
48 25 43 42 48
49 28 44 26 49
50 44 27 26 50
51 27 44 43 51
52 40 45 28 52
53 28 45 44 53
54 30 29 47 54
55 32 47 29 55
56 47 46 30 56
57 37 30 46 57
58 34 48 31 58
59 31 48 32 59
60 32 48 47 60
61 49 33 35 61
62 33 49 34 62
63 49 48 34 63
64 35 50 49 64
65 35 51 50 65
66 37 52 36 66
67 36 52 38 67
68 46 52 37 68
69 52 39 38 69
70 39 52 54 70
71 54 40 39 71
72 45 40 55 72
73 55 40 54 73
74 61 41 60 74
75 60 41 59 75
76 43 62 42 76
77 64 62 43 77
78 44 64 43 78
79 45 64 44 79
80 45 63 64 80
81 55 63 45 81
82 46 65 53 82
83 46 47 65 83
84 46 53 52 84
85 47 48 65 85
86 48 49 67 86
87 67 66 48 87
88 66 65 48 88
89 49 50 67 89
90 50 68 67 90
91 68 50 51 91
92 51 58 68 92
93 70 52 53 93
94 70 54 52 94
95 53 69 70 95
96 69 53 65 96
97 71 54 70 97
98 54 71 55 98
99 55 72 63 99
100 55 71 72 100
101 57 56 74 101
102 73 74 56 102
103 75 57 76 103
104 57 74 76 104
105 58 77 68 105
106 58 78 77 106
107 80 60 59 107
108 81 60 80 108
109 60 81 61 109
110 81 73 61 110
111 62 64 83 111
112 63 84 64 112
113 84 63 72 113
114 64 84 85 114
115 83 64 85 115
116 88 65 66 116
117 65 88 69 117
118 66 87 88 118
119 67 87 66 119
120 68 89 67 120
121 67 89 87 121
122 89 68 77 122
123 69 93 70 123
124 88 93 69 124
125 93 94 70 125
126 94 71 70 126
127 72 71 95 127
128 94 95 71 128
129 92 72 95 129
130 84 72 92 130
131 73 96 74 131
132 73 81 96 132
133 74 97 76 133
134 96 97 74 134
135 75 76 98 135
136 76 97 99 136
137 76 99 98 137
138 100 77 78 138
139 77 100 90 139
140 77 90 89 140
141 78 101 100 141
142 78 79 101 142
143 101 79 98 143
144 81 80 103 144
145 103 80 82 145
146 102 96 81 146
147 102 81 104 147
148 81 103 104 148
149 82 106 105 149
150 103 82 105 150
151 83 107 86 151
152 83 85 107 152
153 84 108 85 153
154 84 92 108 154
155 107 85 108 155
156 107 109 86 156
157 87 111 88 157
158 87 91 111 158
159 89 91 87 159
160 112 93 88 160
161 111 112 88 161
162 90 114 89 162
163 91 89 114 163
164 113 90 100 164
165 90 113 114 165
166 111 91 115 166
167 114 115 91 167
168 116 108 92 168
169 95 116 92 169
170 93 117 94 170
171 112 117 93 171
172 118 94 117 172
173 118 95 94 173
174 116 95 119 174
175 119 95 118 175
176 96 102 120 176
177 96 120 97 177
178 120 121 97 178
179 97 121 99 179
180 122 98 99 180
181 101 98 122 181
182 121 122 99 182
183 113 100 123 183
184 123 100 124 184
185 124 100 101 185
186 124 101 122 186
187 125 102 126 187
188 125 120 102 188
189 104 103 127 189
190 103 105 127 190
191 105 106 128 191
192 127 105 128 192
193 107 108 129 193
194 107 129 109 194
195 108 130 129 195
196 116 130 108 196
197 129 131 109 197
198 109 131 110 198
199 131 132 110 199
200 115 133 111 200
201 111 133 112 201
